Month,Year,Dayweek,Time,Time of day,Day of week,Christmas Period,Easter Period,Time ID
11,2024,Saturday,11:10,Day,Weekend,No,No,95
11,2024,Saturday,16:00,Day,Weekend,No,No,96
11,2024,Saturday,17:20,Day,Weekend,No,No,97
11,2024,Saturday,18:39,Night,Weekend,No,No,98
11,2024,Saturday,19:00,Night,Weekend,No,No,99
11,2024,Saturday,21:00,Night,Weekend,No,No,100
11,2024,Saturday,21:35,Night,Weekend,No,No,101
11,2024,Saturday,23:00,Night,Weekend,No,No,102
11,2024,Saturday,23:24,Night,Weekend,No,No,103
11,2024,Sunday,0:00,Night,Weekend,No,No,104
11,2024,Sunday,1:30,Night,Weekend,No,No,105
11,2024,Sunday,2:10,Night,Weekend,No,No,106
11,2024,Sunday,3:00,Night,Weekend,No,No,107
11,2024,Sunday,6:00,Day,Weekend,No,No,108
11,2024,Sunday,7:15,Day,Weekend,No,No,109
11,2024,Sunday,8:10,Day,Weekend,No,No,110
11,2024,Sunday,10:40,Day,Weekend,No,No,111
11,2024,Sunday,11:00,Day,Weekend,No,No,112
11,2024,Sunday,11:04,Day,Weekend,No,No,113
11,2024,Sunday,11:30,Day,Weekend,No,No,114
11,2024,Sunday,14:45,Day,Weekend,No,No,115
11,2024,Sunday,17:00,Day,Weekend,No,No,116
11,2024,Sunday,21:00,Night,Weekend,No,No,117
11,2024,Thursday,0:01,Night,Weekday,No,No,118
11,2024,Thursday,2:00,Night,Weekday,No,No,119
11,2024,Thursday,4:00,Night,Weekday,No,No,120
11,2024,Thursday,4:02,Night,Weekday,No,No,121
11,2024,Thursday,5:45,Night,Weekday,No,No,122
11,2024,Thursday,9:00,Day,Weekday,No,No,123
11,2024,Thursday,12:20,Day,Weekday,No,No,124
11,2024,Thursday,13:30,Day,Weekday,No,No,125
11,2024,Thursday,17:25,Day,Weekday,No,No,126
11,2024,Thursday,17:44,Day,Weekday,No,No,127
11,2024,Thursday,18:15,Night,Weekday,No,No,128
11,2024,Tuesday,5:00,Night,Weekday,No,No,129
11,2024,Tuesday,6:00,Day,Weekday,No,No,130
11,2024,Tuesday,10:45,Day,Weekday,No,No,131
11,2024,Tuesday,11:00,Day,Weekday,No,No,132
11,2024,Tuesday,11:48,Day,Weekday,No,No,133
11,2024,Tuesday,11:58,Day,Weekday,No,No,134
11,2024,Tuesday,12:00,Day,Weekday,No,No,135
11,2024,Tuesday,12:25,Day,Weekday,No,No,136
11,2024,Tuesday,12:37,Day,Weekday,No,No,137
11,2024,Tuesday,12:55,Day,Weekday,No,No,138
11,2024,Tuesday,14:33,Day,Weekday,No,No,139
11,2024,Tuesday,16:00,Day,Weekday,No,No,140
11,2024,Tuesday,16:40,Day,Weekday,No,No,141
11,2024,Tuesday,17:00,Day,Weekday,No,No,142
11,2024,Tuesday,20:10,Night,Weekday,No,No,143
11,2024,Tuesday,23:00,Night,Weekday,No,No,144
11,2024,Wednesday,17:15,Day,Weekday,No,No,145
11,2024,Wednesday,18:00,Night,Weekday,No,No,146
11,2024,Wednesday,21:50,Night,Weekday,No,No,147
11,2024,Wednesday,22:08,Night,Weekday,No,No,148
10,2024,Friday,6:50,Day,Weekday,No,No,149
10,2024,Friday,7:15,Day,Weekday,No,No,150
10,2024,Friday,10:00,Day,Weekday,No,No,151
10,2024,Friday,11:00,Day,Weekday,No,No,152
10,2024,Friday,11:22,Day,Weekday,No,No,153
10,2024,Friday,15:00,Day,Weekday,No,No,154
10,2024,Friday,15:50,Day,Weekday,No,No,155
10,2024,Friday,16:00,Day,Weekday,No,No,156
10,2024,Friday,16:22,Day,Weekday,No,No,157
10,2024,Friday,16:58,Day,Weekday,No,No,158
10,2024,Friday,17:50,Day,Weekday,No,No,159
10,2024,Friday,19:57,Night,Weekend,No,No,160
10,2024,Friday,20:00,Night,Weekend,No,No,161
10,2024,Friday,22:20,Night,Weekend,No,No,162
10,2024,Friday,22:45,Night,Weekend,No,No,163
10,2024,Friday,23:38,Night,Weekend,No,No,164
10,2024,Monday,0:25,Night,Weekend,No,No,165
10,2024,Monday,2:00,Night,Weekend,No,No,166
10,2024,Monday,6:30,Day,Weekday,No,No,167
10,2024,Monday,8:00,Day,Weekday,No,No,168
10,2024,Monday,14:00,Day,Weekday,No,No,169
10,2024,Monday,18:00,Night,Weekday,No,No,170
10,2024,Saturday,2:10,Night,Weekend,No,No,171
10,2024,Saturday,4:00,Night,Weekend,No,No,172
10,2024,Saturday,5:06,Night,Weekend,No,No,173
10,2024,Saturday,8:00,Day,Weekend,No,No,174
10,2024,Saturday,12:00,Day,Weekend,No,No,175
10,2024,Saturday,13:00,Day,Weekend,No,No,176
10,2024,Saturday,13:10,Day,Weekend,No,No,177
10,2024,Saturday,14:00,Day,Weekend,No,No,178
10,2024,Saturday,20:10,Night,Weekend,No,No,179
10,2024,Sunday,1:00,Night,Weekend,No,No,180
10,2024,Sunday,3:45,Night,Weekend,No,No,181
10,2024,Sunday,8:30,Day,Weekend,No,No,182
10,2024,Sunday,9:00,Day,Weekend,No,No,183
10,2024,Sunday,9:49,Day,Weekend,No,No,184
10,2024,Sunday,10:00,Day,Weekend,No,No,185
10,2024,Sunday,12:10,Day,Weekend,No,No,186
10,2024,Sunday,13:00,Day,Weekend,No,No,187
10,2024,Sunday,13:29,Day,Weekend,No,No,188
10,2024,Sunday,14:00,Day,Weekend,No,No,189
10,2024,Sunday,14:42,Day,Weekend,No,No,190
10,2024,Sunday,15:35,Day,Weekend,No,No,191
10,2024,Sunday,16:00,Day,Weekend,No,No,192
10,2024,Sunday,16:45,Day,Weekend,No,No,193
10,2024,Thursday,4:50,Night,Weekday,No,No,194
10,2024,Thursday,5:45,Night,Weekday,No,No,195
10,2024,Thursday,8:00,Day,Weekday,No,No,196
10,2024,Thursday,8:28,Day,Weekday,No,No,197
10,2024,Thursday,9:00,Day,Weekday,No,No,198
10,2024,Thursday,10:45,Day,Weekday,No,No,199
10,2024,Thursday,13:00,Day,Weekday,No,No,200
10,2024,Thursday,13:30,Day,Weekday,No,No,201
10,2024,Thursday,13:54,Day,Weekday,No,No,202
10,2024,Thursday,15:15,Day,Weekday,No,No,203
10,2024,Thursday,16:30,Day,Weekday,No,No,204
10,2024,Thursday,16:35,Day,Weekday,No,No,205
10,2024,Thursday,17:00,Day,Weekday,No,No,206
10,2024,Thursday,17:31,Day,Weekday,No,No,207
10,2024,Thursday,19:00,Night,Weekday,No,No,208
10,2024,Thursday,21:30,Night,Weekday,No,No,209
10,2024,Tuesday,0:18,Night,Weekday,No,No,210
10,2024,Tuesday,4:00,Night,Weekday,No,No,211
10,2024,Tuesday,5:15,Night,Weekday,No,No,212
10,2024,Tuesday,6:00,Day,Weekday,No,No,213
10,2024,Tuesday,14:30,Day,Weekday,No,No,214
10,2024,Tuesday,18:00,Night,Weekday,No,No,215
10,2024,Tuesday,18:15,Night,Weekday,No,No,216
10,2024,Tuesday,20:20,Night,Weekday,No,No,217
10,2024,Wednesday,13:45,Day,Weekday,No,No,218
10,2024,Wednesday,15:18,Day,Weekday,No,No,219
10,2024,Wednesday,15:34,Day,Weekday,No,No,220
10,2024,Wednesday,16:00,Day,Weekday,No,No,221
10,2024,Wednesday,17:00,Day,Weekday,No,No,222
10,2024,Wednesday,18:00,Night,Weekday,No,No,223
10,2024,Wednesday,18:45,Night,Weekday,No,No,224
10,2024,Wednesday,21:27,Night,Weekday,No,No,225
10,2024,Wednesday,23:30,Night,Weekday,No,No,226
9,2024,Friday,2:42,Night,Weekday,No,No,227
9,2024,Friday,8:00,Day,Weekday,No,No,228
9,2024,Friday,12:00,Day,Weekday,No,No,229
9,2024,Friday,12:18,Day,Weekday,No,No,230
9,2024,Friday,12:40,Day,Weekday,No,No,231
9,2024,Friday,14:00,Day,Weekday,No,No,232
9,2024,Friday,17:00,Day,Weekday,No,No,233
9,2024,Friday,18:00,Night,Weekend,No,No,234
9,2024,Friday,18:45,Night,Weekend,No,No,235
9,2024,Friday,20:18,Night,Weekend,No,No,236
9,2024,Friday,20:30,Night,Weekend,No,No,237
9,2024,Friday,21:00,Night,Weekend,No,No,238
9,2024,Friday,21:22,Night,Weekend,No,No,239
9,2024,Monday,10:09,Day,Weekday,No,No,240
9,2024,Monday,11:50,Day,Weekday,No,No,241
9,2024,Monday,13:30,Day,Weekday,No,No,242
9,2024,Monday,14:00,Day,Weekday,No,No,243
9,2024,Monday,14:15,Day,Weekday,No,No,244
9,2024,Monday,17:30,Day,Weekday,No,No,245
9,2024,Monday,17:38,Day,Weekday,No,No,246
9,2024,Saturday,1:00,Night,Weekend,No,No,247
9,2024,Saturday,9:15,Day,Weekend,No,No,248
9,2024,Saturday,10:05,Day,Weekend,No,No,249
9,2024,Saturday,11:27,Day,Weekend,No,No,250
9,2024,Saturday,15:47,Day,Weekend,No,No,251
9,2024,Saturday,16:22,Day,Weekend,No,No,252
9,2024,Saturday,17:35,Day,Weekend,No,No,253
9,2024,Saturday,18:00,Night,Weekend,No,No,254
9,2024,Saturday,19:06,Night,Weekend,No,No,255
9,2024,Saturday,19:30,Night,Weekend,No,No,256
9,2024,Saturday,22:08,Night,Weekend,No,No,257
9,2024,Sunday,0:00,Night,Weekend,No,No,258
9,2024,Sunday,1:15,Night,Weekend,No,No,259
9,2024,Sunday,3:15,Night,Weekend,No,No,260
9,2024,Sunday,10:04,Day,Weekend,No,No,261
9,2024,Sunday,10:25,Day,Weekend,No,No,262
9,2024,Sunday,13:00,Day,Weekend,No,No,263
9,2024,Sunday,16:40,Day,Weekend,No,No,264
9,2024,Sunday,17:00,Day,Weekend,No,No,265
9,2024,Sunday,19:00,Night,Weekend,No,No,266
9,2024,Sunday,19:45,Night,Weekend,No,No,267
9,2024,Sunday,21:20,Night,Weekend,No,No,268
9,2024,Thursday,0:00,Night,Weekday,No,No,269
9,2024,Thursday,4:00,Night,Weekday,No,No,270
9,2024,Thursday,5:25,Night,Weekday,No,No,271
9,2024,Thursday,6:50,Day,Weekday,No,No,272
9,2024,Thursday,7:04,Day,Weekday,No,No,273
9,2024,Thursday,8:00,Day,Weekday,No,No,274
9,2024,Thursday,11:00,Day,Weekday,No,No,275
9,2024,Thursday,11:30,Day,Weekday,No,No,276
9,2024,Thursday,12:17,Day,Weekday,No,No,277
9,2024,Thursday,21:05,Night,Weekday,No,No,278
9,2024,Tuesday,4:00,Night,Weekday,No,No,279
9,2024,Tuesday,12:36,Day,Weekday,No,No,280
9,2024,Tuesday,16:00,Day,Weekday,No,No,281
9,2024,Wednesday,6:00,Day,Weekday,No,No,282
9,2024,Wednesday,11:00,Day,Weekday,No,No,283
9,2024,Wednesday,13:11,Day,Weekday,No,No,284
9,2024,Wednesday,15:20,Day,Weekday,No,No,285
9,2024,Wednesday,16:50,Day,Weekday,No,No,286
9,2024,Wednesday,17:46,Day,Weekday,No,No,287
9,2024,Wednesday,18:40,Night,Weekday,No,No,288
9,2024,Wednesday,22:06,Night,Weekday,No,No,289
9,2024,Wednesday,22:45,Night,Weekday,No,No,290
8,2024,Friday,2:00,Night,Weekday,No,No,291
8,2024,Friday,5:00,Night,Weekday,No,No,292
8,2024,Friday,6:15,Day,Weekday,No,No,293
8,2024,Friday,6:35,Day,Weekday,No,No,294
8,2024,Friday,8:59,Day,Weekday,No,No,295
8,2024,Friday,11:00,Day,Weekday,No,No,296
8,2024,Friday,13:00,Day,Weekday,No,No,297
8,2024,Friday,15:00,Day,Weekday,No,No,298
8,2024,Friday,15:15,Day,Weekday,No,No,299
8,2024,Friday,17:45,Day,Weekday,No,No,300
8,2024,Friday,17:50,Day,Weekday,No,No,301
8,2024,Friday,18:00,Night,Weekend,No,No,302
8,2024,Friday,18:54,Night,Weekend,No,No,303
8,2024,Friday,19:30,Night,Weekend,No,No,304
8,2024,Friday,19:55,Night,Weekend,No,No,305
8,2024,Friday,20:00,Night,Weekend,No,No,306
8,2024,Monday,0:48,Night,Weekend,No,No,307
8,2024,Monday,5:38,Night,Weekend,No,No,308
8,2024,Monday,7:00,Day,Weekday,No,No,309
8,2024,Monday,8:00,Day,Weekday,No,No,310
8,2024,Monday,9:15,Day,Weekday,No,No,311
8,2024,Monday,9:30,Day,Weekday,No,No,312
8,2024,Monday,15:05,Day,Weekday,No,No,313
8,2024,Monday,15:45,Day,Weekday,No,No,314
8,2024,Monday,17:01,Day,Weekday,No,No,315
8,2024,Monday,17:40,Day,Weekday,No,No,316
8,2024,Monday,19:48,Night,Weekday,No,No,317
8,2024,Saturday,0:55,Night,Weekend,No,No,318
8,2024,Saturday,3:30,Night,Weekend,No,No,319
8,2024,Saturday,11:00,Day,Weekend,No,No,320
8,2024,Saturday,13:00,Day,Weekend,No,No,321
8,2024,Saturday,14:54,Day,Weekend,No,No,322
8,2024,Saturday,16:20,Day,Weekend,No,No,323
8,2024,Saturday,17:15,Day,Weekend,No,No,324
8,2024,Saturday,18:16,Night,Weekend,No,No,325
8,2024,Saturday,19:14,Night,Weekend,No,No,326
8,2024,Saturday,21:00,Night,Weekend,No,No,327
8,2024,Saturday,23:25,Night,Weekend,No,No,328
8,2024,Sunday,0:00,Night,Weekend,No,No,329
8,2024,Sunday,0:40,Night,Weekend,No,No,330
8,2024,Sunday,4:00,Night,Weekend,No,No,331
8,2024,Sunday,6:48,Day,Weekend,No,No,332
8,2024,Sunday,8:13,Day,Weekend,No,No,333
8,2024,Sunday,10:50,Day,Weekend,No,No,334
8,2024,Sunday,13:00,Day,Weekend,No,No,335
8,2024,Sunday,15:25,Day,Weekend,No,No,336
8,2024,Thursday,12:00,Day,Weekday,No,No,337
8,2024,Thursday,12:28,Day,Weekday,No,No,338
8,2024,Thursday,14:00,Day,Weekday,No,No,339
8,2024,Thursday,15:31,Day,Weekday,No,No,340
8,2024,Thursday,15:55,Day,Weekday,No,No,341
8,2024,Thursday,16:00,Day,Weekday,No,No,342
8,2024,Thursday,18:25,Night,Weekday,No,No,343
8,2024,Thursday,21:52,Night,Weekday,No,No,344
8,2024,Tuesday,2:00,Night,Weekday,No,No,345
8,2024,Tuesday,6:40,Day,Weekday,No,No,346
8,2024,Tuesday,10:23,Day,Weekday,No,No,347
8,2024,Tuesday,16:45,Day,Weekday,No,No,348
8,2024,Tuesday,19:00,Night,Weekday,No,No,349
8,2024,Tuesday,19:54,Night,Weekday,No,No,350
8,2024,Tuesday,20:40,Night,Weekday,No,No,351
8,2024,Tuesday,20:55,Night,Weekday,No,No,352
8,2024,Wednesday,9:00,Day,Weekday,No,No,353
8,2024,Wednesday,9:35,Day,Weekday,No,No,354
8,2024,Wednesday,11:00,Day,Weekday,No,No,355
8,2024,Wednesday,18:00,Night,Weekday,No,No,356
8,2024,Wednesday,19:00,Night,Weekday,No,No,357
8,2024,Wednesday,22:41,Night,Weekday,No,No,358
7,2024,Friday,8:00,Day,Weekday,No,No,359
7,2024,Friday,11:46,Day,Weekday,No,No,360
7,2024,Friday,12:00,Day,Weekday,No,No,361
7,2024,Friday,12:38,Day,Weekday,No,No,362
7,2024,Friday,13:30,Day,Weekday,No,No,363
7,2024,Friday,16:00,Day,Weekday,No,No,364
7,2024,Friday,16:30,Day,Weekday,No,No,365
7,2024,Friday,16:40,Day,Weekday,No,No,366
7,2024,Friday,22:45,Night,Weekend,No,No,367
7,2024,Monday,8:05,Day,Weekday,No,No,368
7,2024,Monday,8:15,Day,Weekday,No,No,369
7,2024,Monday,11:28,Day,Weekday,No,No,370
7,2024,Monday,12:08,Day,Weekday,No,No,371
7,2024,Monday,13:20,Day,Weekday,No,No,372
7,2024,Monday,13:24,Day,Weekday,No,No,373
7,2024,Monday,14:00,Day,Weekday,No,No,374
7,2024,Monday,14:30,Day,Weekday,No,No,375
7,2024,Monday,19:20,Night,Weekday,No,No,376
7,2024,Monday,20:37,Night,Weekday,No,No,377
7,2024,Monday,22:00,Night,Weekday,No,No,378
7,2024,Monday,23:28,Night,Weekday,No,No,379
7,2024,Saturday,0:30,Night,Weekend,No,No,380
7,2024,Saturday,2:00,Night,Weekend,No,No,381
7,2024,Saturday,8:30,Day,Weekend,No,No,382
7,2024,Saturday,9:07,Day,Weekend,No,No,383
7,2024,Saturday,14:00,Day,Weekend,No,No,384
7,2024,Saturday,14:43,Day,Weekend,No,No,385
7,2024,Saturday,15:00,Day,Weekend,No,No,386
7,2024,Saturday,19:25,Night,Weekend,No,No,387
7,2024,Sunday,0:01,Night,Weekend,No,No,388
7,2024,Sunday,4:07,Night,Weekend,No,No,389
7,2024,Sunday,6:30,Day,Weekend,No,No,390
7,2024,Sunday,9:26,Day,Weekend,No,No,391
7,2024,Sunday,10:24,Day,Weekend,No,No,392
7,2024,Sunday,10:41,Day,Weekend,No,No,393
7,2024,Sunday,11:10,Day,Weekend,No,No,394
7,2024,Sunday,13:00,Day,Weekend,No,No,395
7,2024,Sunday,14:00,Day,Weekend,No,No,396
7,2024,Sunday,14:30,Day,Weekend,No,No,397
7,2024,Sunday,14:45,Day,Weekend,No,No,398
7,2024,Sunday,17:00,Day,Weekend,No,No,399
7,2024,Sunday,18:20,Night,Weekend,No,No,400
7,2024,Thursday,3:00,Night,Weekday,No,No,401
7,2024,Thursday,4:00,Night,Weekday,No,No,402
7,2024,Thursday,6:00,Day,Weekday,No,No,403
7,2024,Thursday,9:55,Day,Weekday,No,No,404
7,2024,Thursday,10:00,Day,Weekday,No,No,405
7,2024,Thursday,11:53,Day,Weekday,No,No,406
7,2024,Thursday,12:00,Day,Weekday,No,No,407
7,2024,Thursday,13:00,Day,Weekday,No,No,408
7,2024,Thursday,16:13,Day,Weekday,No,No,409
7,2024,Thursday,17:00,Day,Weekday,No,No,410
7,2024,Thursday,17:45,Day,Weekday,No,No,411
7,2024,Thursday,20:30,Night,Weekday,No,No,412
7,2024,Tuesday,6:20,Day,Weekday,No,No,413
7,2024,Tuesday,7:00,Day,Weekday,No,No,414
7,2024,Tuesday,9:00,Day,Weekday,No,No,415
7,2024,Tuesday,11:45,Day,Weekday,No,No,416
7,2024,Tuesday,14:10,Day,Weekday,No,No,417
7,2024,Tuesday,14:13,Day,Weekday,No,No,418
7,2024,Tuesday,15:00,Day,Weekday,No,No,419
7,2024,Tuesday,15:30,Day,Weekday,No,No,420
7,2024,Tuesday,16:35,Day,Weekday,No,No,421
7,2024,Tuesday,17:50,Day,Weekday,No,No,422
7,2024,Tuesday,17:57,Day,Weekday,No,No,423
7,2024,Tuesday,18:59,Night,Weekday,No,No,424
7,2024,Tuesday,19:00,Night,Weekday,No,No,425
7,2024,Tuesday,19:30,Night,Weekday,No,No,426
7,2024,Tuesday,22:00,Night,Weekday,No,No,427
7,2024,Wednesday,0:00,Night,Weekday,No,No,428
7,2024,Wednesday,1:35,Night,Weekday,No,No,429
7,2024,Wednesday,6:05,Day,Weekday,No,No,430
7,2024,Wednesday,9:00,Day,Weekday,No,No,431
7,2024,Wednesday,9:30,Day,Weekday,No,No,432
7,2024,Wednesday,10:00,Day,Weekday,No,No,433
7,2024,Wednesday,10:45,Day,Weekday,No,No,434
7,2024,Wednesday,13:00,Day,Weekday,No,No,435
7,2024,Wednesday,13:59,Day,Weekday,No,No,436
7,2024,Wednesday,14:15,Day,Weekday,No,No,437
7,2024,Wednesday,16:30,Day,Weekday,No,No,438
7,2024,Wednesday,18:30,Night,Weekday,No,No,439
7,2024,Wednesday,22:22,Night,Weekday,No,No,440
6,2024,Friday,12:50,Day,Weekday,No,No,441
6,2024,Friday,14:00,Day,Weekday,No,No,442
6,2024,Friday,14:39,Day,Weekday,No,No,443
6,2024,Friday,16:48,Day,Weekday,No,No,444
6,2024,Friday,17:15,Day,Weekday,No,No,445
6,2024,Friday,17:45,Day,Weekday,No,No,446
6,2024,Friday,18:20,Night,Weekend,No,No,447
6,2024,Friday,19:08,Night,Weekend,No,No,448
6,2024,Friday,21:04,Night,Weekend,No,No,449
6,2024,Friday,23:00,Night,Weekend,No,No,450
6,2024,Monday,3:00,Night,Weekend,No,No,451
6,2024,Monday,8:40,Day,Weekday,No,No,452
6,2024,Monday,9:30,Day,Weekday,No,No,453
6,2024,Monday,10:00,Day,Weekday,No,No,454
6,2024,Monday,10:24,Day,Weekday,No,No,455
6,2024,Monday,11:00,Day,Weekday,No,No,456
6,2024,Monday,13:38,Day,Weekday,No,No,457
6,2024,Monday,14:51,Day,Weekday,No,No,458
6,2024,Monday,15:15,Day,Weekday,No,No,459
6,2024,Monday,15:20,Day,Weekday,No,No,460
6,2024,Monday,17:20,Day,Weekday,No,No,461
6,2024,Monday,19:10,Night,Weekday,No,No,462
6,2024,Monday,22:00,Night,Weekday,No,No,463
6,2024,Saturday,0:00,Night,Weekend,No,No,464
6,2024,Saturday,16:00,Day,Weekend,No,No,465
6,2024,Saturday,23:00,Night,Weekend,No,No,466
6,2024,Sunday,0:00,Night,Weekend,No,No,467
6,2024,Sunday,3:00,Night,Weekend,No,No,468
6,2024,Sunday,3:55,Night,Weekend,No,No,469
6,2024,Sunday,9:00,Day,Weekend,No,No,470
6,2024,Sunday,9:13,Day,Weekend,No,No,471
6,2024,Sunday,10:45,Day,Weekend,No,No,472
6,2024,Sunday,11:00,Day,Weekend,No,No,473
6,2024,Sunday,12:09,Day,Weekend,No,No,474
6,2024,Sunday,12:15,Day,Weekend,No,No,475
6,2024,Sunday,13:00,Day,Weekend,No,No,476
6,2024,Sunday,14:02,Day,Weekend,No,No,477
6,2024,Sunday,16:15,Day,Weekend,No,No,478
6,2024,Sunday,16:50,Day,Weekend,No,No,479
6,2024,Sunday,20:19,Night,Weekend,No,No,480
6,2024,Sunday,21:00,Night,Weekend,No,No,481
6,2024,Sunday,23:15,Night,Weekend,No,No,482
6,2024,Thursday,8:40,Day,Weekday,No,No,483
6,2024,Thursday,17:19,Day,Weekday,No,No,484
6,2024,Thursday,18:00,Night,Weekday,No,No,485
6,2024,Thursday,19:18,Night,Weekday,No,No,486
6,2024,Thursday,21:00,Night,Weekday,No,No,487
6,2024,Tuesday,6:00,Day,Weekday,No,No,488
6,2024,Tuesday,7:40,Day,Weekday,No,No,489
6,2024,Tuesday,8:00,Day,Weekday,No,No,490
6,2024,Tuesday,10:00,Day,Weekday,No,No,491
6,2024,Tuesday,11:29,Day,Weekday,No,No,492
6,2024,Tuesday,14:00,Day,Weekday,No,No,493
6,2024,Tuesday,15:15,Day,Weekday,No,No,494
6,2024,Tuesday,17:05,Day,Weekday,No,No,495
6,2024,Tuesday,21:20,Night,Weekday,No,No,496
6,2024,Wednesday,0:41,Night,Weekday,No,No,497
